description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
SOFT SUAVIZANTE CLASSIC BOT 24X500ML,ASEO Y LIMPIEZA,SUAVIZANTES ROPA,SUAVIZANTE LIQUIDO,SOFT,CLASSIC,BOTELLA,SUAVIZANTES ROPA,SUAVIZANTE DE ROPA LIQUIDO CLASSIC SOFT 500ML,UNILEVER CHILE LIMITADA.
PH NOBLE DH 25 MT 6X48,CUIDADO PERSONAL,PAPELERA,PAPEL HIGIENICO,NOBLE,,PAQUETE,PAPELERA,PAPEL HIGIENICO NOBLE 25UN,CMPC TISSUE S.A.
REPOSICION PROD FALTANTES SIND MAIPU,ALIMENTOS,COMBOS,COMBOS,CASERITA,,,,,DISTRIBUIDORA COMERCIAL CASERITA LTDA
1RA PRUEBA DE COMBO VIRTUAL,OTROS,SIN SECCION,SIN FAMILIA,SIN MARCA,,,,,
1RA PRUEBA DE COMBO VIRTUAL,OTROS,SIN SECCION,SIN FAMILIA,SIN MARCA,,,OTROS,,
CANASTA CHICA PC 2 FEBRERO 2018,ASEO Y LIMPIEZA,COMBOS,COMBOS,SIN MARCA,,,PROMOCIONES,,
VANISH SUPER BARRA ROSA 75 GR,ASEO Y LIMPIEZA,DETERGENTES,JABONES,VANISH,,,DETERGENTES,,RECKITT BENCKISER CHILE S.A.
VANISH SUPER BARRA BLANCA 75 GR,ASEO Y LIMPIEZA,DETERGENTES,JABONES,VANISH,,,DETERGENTES,,RECKITT BENCKISER CHILE S.A.
VANISH LIQUIDO ROSA DP 24X400 ML,ASEO Y LIMPIEZA,DETERGENTES,BLANQUEADORES,VANISH,ROSA,DOYPACK,DETERGENTES,LIMPIADOR LIMPIADOR MULTIUSO ROSA VANISH 400ML,RECKITT BENCKISER CHILE S.A.
VANISH LIQUIDO BLANCO DP 24X400 ML,ASEO Y LIMPIEZA,DETERGENTES,BLANQUEADORES,VANISH,BLANCO,DOYPACK,DETERGENTES,LIMPIADOR LIMPIADOR MULTIUSO BLANCO VANISH 400ML,RECKITT BENCKISER CHILE S.A.
ARROZ PREGRANEADO LOS CHINOS G2 10X500GR,ABARROTES BASICOS Y MASCOTAS,ARROZ,PREGRANEADO,LOS CHINOS,NACIONAL G2,BOLSA,ARROZ,ARROZ PREGRANEADO NACIONAL G2 LOS CHINOS 500GR,EMPRESAS TUCAPEL S.A.
ARROZ PREGRANEADO LOS CHINOS G2 10X1KILO,ABARROTES BASICOS Y MASCOTAS,ARROZ,PREGRANEADO,LOS CHINOS,NACIONAL G2,BOLSA,ARROZ,ARROZ PREGRANEADO NACIONAL G2 LOS CHINOS 1KG,EMPRESAS TUCAPEL S.A.
FILM MANUAL 13 MY 450MM3 (PSM15271),OTROS,OTROS,OTROS,SIN MARCA,,,OTROS,,GO AND GO LIMITADA
CANASTA CHICA FOODS MARZO 2018,ABARROTES BASICOS Y MASCOTAS,COMBOS,CANASTAS,SIN MARCA,FOODS MARZO 2018,CAJA,PROMOCIONES,,
CANASTA GRANDE FOODS MARZO 2018,ABARROTES BASICOS Y MASCOTAS,COMBOS,CANASTAS,SIN MARCA,FOODS MARZO 2018,CAJA,PROMOCIONES,,
SALCHICHA SURENA 8X900 GR WINTER,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,SALCHICHAS,WINTER,,,REFRIGERADOS,,CIAL ALIMENTOS S.A.
SALCHICHA SURENA 12X225 GR WINTER,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,SALCHICHAS,WINTER,,,REFRIGERADOS,,CIAL ALIMENTOS S.A.
Z. SALCHICHA TRADICIONAL 8X900 GR WINTER,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,SALCHICHAS,WINTER,TRADICIONAL,PAQUETE,REFRIGERADOS,SALCHICHAS TRADICIONAL WINTER 900GR,CIAL ALIMENTOS S.A.
SALCHICHA POLLO 8X900 GR WINTER,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,SALCHICHAS,WINTER,,,REFRIGERADOS,,CIAL ALIMENTOS S.A.
SALCHICHA POLLO 12X225  GR WINTER,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,SALCHICHAS,WINTER,,,REFRIGERADOS,,CIAL ALIMENTOS S.A.
SALCHICHA TRADICIONAL 20X225 GR WINTER,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,SALCHICHAS,WINTER,,,REFRIGERADOS,,CIAL ALIMENTOS S.A.
ACE NATURALS 18X200 GR,ASEO Y LIMPIEZA,DETERGENTES,POLVO,ACE,NATURALS,DOYPACK,DETERGENTES ACE,DETERGENTE EL POLVO NATURALS ACE 200GR,PROCTER & GAMBLE CHILE LTDA.
SEDAL SH BOMBA ARGAN 12X340ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,TIMOTEI,,,PRODUCTOS ASEO PERSONAL,,UNILEVER CHILE LIMITADA.
