description,origin,section,family,brand,variety,format,group,internet_description,manufacturer
Z. ARROZ BANQUETE G°2L PREM. 10X1 KG,ABARROTES BASICOS Y MASCOTAS,ARROZ,BLANCO,BANQUETE,NACIONAL G2,,ARROZ,,EMPRESAS TUCAPEL S.A.
Z. LECHE PURITA 6X1600 GRS.,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,PURITA,,,,,DIWATTS S.A
MORTADELA JAMONADA PAVO WINTER X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,MORTADELA,WINTER,JAMONADA PAVO,BARRA,REFRIGERADOS,,CIAL ALIMENTOS S.A.
PATE DE TERNERA WINTER 16X125 GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,WINTER,TERNERA,SACHET,REFRIGERADOS,,CIAL ALIMENTOS S.A.
Z. DESOD. AXE SPRAY CONVICTI 12X160 ML,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,AXE,,,,,UNILEVER CHILE LIMITADA.
Z. ACEITE LA REINA 40X250 CC,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,REINA,,,,,
Z-TOALLA DONNASEPT INVISIBLE SUAVE X24,CUIDADO PERSONAL,PROTECCION FEMENINA,TOALLAS,DONNASEPT,,,,,PRODUCTOS FAMILIA CHILE SPA
Z. HELLMANNS MAY 6X12X200 GRS,ALIMENTOS,MAYONESA,TRADICIONAL,HELLMAN'S,,,,,UNILEVER CHILE LIMITADA.
PATE AVE WINTER 8X125 GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,WINTER,,,,,CECINAS WINTER S.A.
Z. I.PACK INSEC-SELTON CJ+MMZ 2X6X440,ASEO Y LIMPIEZA,INSECTICIDAS,SPRAY,SELTON,,,,,CLOROX CHILE S.A.
Z. MARGARINA DORINA SABOR PEQUEÑO 48X90G,LACTEOS REFRIGERADOS Y CECINAS,MANTEQUILLAS Y MARGARINAS,MARGARINAS,DORINA,,,,,UNILEVER CHILE LIMITADA.
Z. PAPEL HIGIENICO GARDEN 4X12,CUIDADO PERSONAL,PAPELERA,HIGIENICOS,GARDEN,,,PAPELERA,,COMERCIALIZADORA AUSTRAL TRADING SPA
Z. PAPEL HIGIENICO GARDEN 6X12,CUIDADO PERSONAL,PAPELERA,HIGIENICOS,GARDEN,,,PAPELERA,,DISTRIBUIDORA COMERCIAL CASERITA LTDA
PATE DE JAMON WINTER 16X125 GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,WINTER,,,,,CECINAS WINTER S.A.
YERBA MATE SUPREMO ARGENTINA 10X250,ALIMENTOS,YERBA MATE,TRADICIONAL,SUPREMO,ARGENTINA,DOYPACK,YERBA MATE,YERBA MATE TRADICIONAL ARGENTINA SUPREMO 250GR,CAMBIASO HNOS. S.A.C.
Z.ACOND.PANTENE LISO EXTREMO 24X10 ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADOR,PANTENE,,,PRODUCTOS ASEO PERSONAL,,PROCTER & GAMBLE CHILE LTDA.
LECHE NESTLE SVELTY 12X1LT,LACTEOS REFRIGERADOS Y CECINAS,LECHE LIQUIDA,SEMI DESCREMADA,SVELTY,SEMI DESCREMADA,CAJA,LECHE LIQUIDA,,NESTLE CHILE S.A.
Z. LANGUETAZO NAR/ MAND 24X24X312 G,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CARAMELOS,DOS EN UNO,,,,,INDUSTRIA DE ALIMENTOS DOS EN UNO S.A.
TE SUPREMO SUPERIOR 32X125 GR,ALIMENTOS,TE,TE,SUPREMO,SUPERIOR,BOLSA,TE,TE SUPERIOR SUPREMO 125GR,CAMBIASO HNOS. S.A.C.
Z. LIMPIAVIDRIO BRIMAX 30X275 GR,ASEO Y LIMPIEZA,ARTICULOS DE ASEO HOGAR,LIMPIA VIDRIO,BRIMAX,,,,,CLOROX CHILE S.A.
Z. CONF LANGUETAZO MANZ. VERDE 24X24X312,OTROS,PROMOCIONES,CUPON,SIN MARCA,,,,,INDUSTRIA DE ALIMENTOS DOS EN UNO S.A.
CUPON MEGAPROMO SEPTIEMBRE,OTROS,PROMOCIONES,CUPON,SIN MARCA,CUPON PUBLICITARIO,DISPLAY,PROMOCIONES,,OTROS
RASPE NAVIDAD 2010,OTROS,PROMOCIONES,CUPON,SIN MARCA,,,,,OTROS
Z. CHOCOLATE PRIVILEGIO LICORES 10X150 G,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CHOCOLATES,DOS EN UNO,,,,,INDUSTRIA DE ALIMENTOS DOS EN UNO S.A.
AVENA QUAKER 24/500,LACTEOS REFRIGERADOS Y CECINAS,ALIMENTOS INFANTILES,AVENA,QUAKER,TRADICIONAL,CAJA,ALIMENTOS INFANTILES,,EVERCRISP SNACK PRODUCTOS DE CHILE SA
Z. FIDEO CHEF SPAGHETTI Nº5  PR+25% 12X5,ALIMENTOS,FIDEOS,GUISOS,CHEF,,,FIDEOS,,DIWATTS S.A
Z. FIDEO CHEF TALLARI  Nº87 PRO+25% 12X5,ALIMENTOS,FIDEOS,GUISOS,CHEF,,,,,DIWATTS S.A
Z. FIDEO CHEF CARACOLES  PROM+25% 12X500,ALIMENTOS,FIDEOS,GUISOS,CHEF,,,,,DIWATTS S.A
TE MILDRED CEYLAN 32X125 GRS.,ALIMENTOS,TE,TE,MILDRED,CEYLAN,BOLSA,TE,TE CEYLAN MILDRED 125GR,CAMBIASO HNOS. S.A.C.
Z. FIDEO CHEF CORBATAS  PROM+25% 12X500,ALIMENTOS,FIDEOS,GUISOS,CHEF,,,,,DIWATTS S.A
ATUN LOMITO AGUA SAN JOSE 48X178 GRS,ALIMENTOS,CONSERVAS,ATUN,SAN JOSE,,,CONSERVAS ATUNES,ATUN LOMITO AL AGUA SAN JOSE 185GR,ORIZON S.A.
Z. CREMAS MAGGI 10X1ESPAR VERDE-LEN-POLL,ALIMENTOS,SOPAS Y CREMAS,CREMAS,MAGGI,,,,,NESTLE CHILE S.A.
Z. FIDEO CHEF RIGATI  PROM+25% 12X500 GR,ALIMENTOS,FIDEOS,GUISOS,CHEF,,,,,DIWATTS S.A
Z. ACEITE LA REINA 30X500CC,ABARROTES BASICOS Y MASCOTAS,ACEITE,VEGETAL,REINA,,,,,DIWATTS S.A
Z. FIDEO CHEF ESPIRALES PROM+25% 12X500,ALIMENTOS,FIDEOS,GUISOS,CHEF,,,,,DIWATTS S.A
Z. LECHE CALO POLV.12X10X110GRS,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,CALO,,,,,DIWATTS S.A
TE ORJAS TARRO 48/30,ALIMENTOS,TE,TE,ORJAS,HOJA,BOLSA,TE,TE HOJA ORJAS 30GR,TRESMONTES S.A
Z.TE CLUB CEYLAN AZUL 32/115,ALIMENTOS,TE,TE,CLUB,CEYLAN AZUL,BOLSA,TE,,UNILEVER CHILE LIMITADA.
Z. SOPA MAGGI ESPARRAGOS SB 12X68 GR,ALIMENTOS,SOPAS Y CREMAS,SOPAS,MAGGI,,,,,NESTLE CHILE S.A.
Z. CAFE MONTERREY INSTAN TARRO 24X100 G,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,MONTERREY,,,CAFE Y SUCEDANEOS,,TRESMONTES S.A
Z.PAP.HIG.CONFORT POLI 8X6 50M,CUIDADO PERSONAL,PAPELERA,PAPEL HIGIENICO,CONFORT,POLI,PAQUETE,PAPELERA,,CMPC TISSUE S.A.
Z. PAP. HIG SCOTT MAS MTS H/S BCO 6X8X50,CUIDADO PERSONAL,PAPELERA,HIGIENICOS,SCOTT,,,,,KIMBERLY CLARK CHILE S.A.
X. TE PREMIUM SUPREMO 25X20 U,ALIMENTOS,TE,BOLSITA,SUPREMO,,,TE,,CAMBIASO HNOS. S.A.C.
Z. TE EMBLEM 32X115 GRS,ALIMENTOS,TE,BOLSITA,EMBLEM,,,,,UNILEVER BESTFOODS
TE SUPREMO PREMIUM 10X100 U,ALIMENTOS,TE,TE,SUPREMO,PREMIUM,BOLSA,TE,TE PREMIUM SUPREMO 100UN,CAMBIASO HNOS. S.A.C.
BOLSA BASURA SUPERIOR 70X90 (30X10),ASEO Y LIMPIEZA,BOLSAS,BOLSA BASURA,SUPERIOR,70X90,PACK,BOLSAS,BOLSA BASURA 70X90 SUPERIOR 30UN,CAMBIASO HNOS. S.A.C.
LECHE PURITA CALO EX CALCIO 20X400 GR,LACTEOS REFRIGERADOS Y CECINAS,LECHE POLVO,ENTERAS,CALO,,,,,DIWATTS S.A
Z. YOGHURT BATIDO BOT FRUTILLA SOPROLE 1,LACTEOS REFRIGERADOS Y CECINAS,YOGHURT,BATIDO,SOPROLE,,,,,COMERCIAL SANTA ELENA S.A.
CALDO MAGGI DISPLAY CARNE 30/24/2TABLETA,ALIMENTOS,CALDOS,DISPLAY,MAGGI,,,,,NESTLE CHILE S.A.
Z. PAP. TOALLA NOVA CLA 2X24,CUIDADO PERSONAL,PAPELERA,TOALLAS,NOVA,,,,,CMPC TISSUE S.A.
PIÑA SUNNY  24X567,ALIMENTOS,CONSERVAS,FRUTAS,SUNNY,TROZOS,LATA,CONSERVAS FRUTAS,,COMERCIAL CHACAO S A
Z. PAP. HIG.ECONOMICO GRANEL 4X12,CUIDADO PERSONAL,PAPELERA,HIGIENICOS,CONFORT,,,,,CMPC TISSUE S.A.
Z. JABON GLICERINA ULTRA-SUAVIUDAD 60X90,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON DE TOCADOR,POPEYE,,,,,MIGUEL MARITANO IND.JABONES S.A.
Z. SOPA MAGGI CARNE SEMOLA 36X68 GR,ALIMENTOS,SOPAS Y CREMAS,SOPAS,MAGGI,,,,,NESTLE CHILE S.A.
Z. TE ORJAS ESTUCHE 48/30,ALIMENTOS,TE,POLVO,ORJAS,,,,,TRESMONTES S.A
Z. CREMA MAGGI LENTEJAS/TOCINO 36X79 GR,ALIMENTOS,SOPAS Y CREMAS,CREMAS,MAGGI,,,,,NESTLE CHILE S.A.
PIÑAS CUBITO WASIL 6X3 KG,ALIMENTOS,CONSERVAS,FRUTAS,WASIL,CUBITOS,LATA,CONSERVAS FRUTAS,,DIWATTS S.A
Z. CECINAS SAN PABLO LONGANIZAS X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,LONGANIZAS,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z. ALIMENTO CEREAL CHOCAPIC 20X250,LACTEOS REFRIGERADOS Y CECINAS,ALIMENTOS INFANTILES,CEREALES,NESTLE,,,,,NESTLE CHILE S.A.
Z. P. DES.AXE FUCION SPAY 12X160,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,AXE,,,,,UNILEVER CHILE LIMITADA.
D. ABLANDADOR 40X250GR,ASEO Y LIMPIEZA,DETERGENTES,POLVO,WONDERFULL,ABLANDADOR,DOYPACK,DETERGENTES,,COMERCIAL CHACAO S A
Z.ARROZ TUCAPEL GRANE.LARG G2 10X1K,ABARROTES BASICOS Y MASCOTAS,ARROZ,BLANCO,TUCAPEL,NACIONAL G2,BOLSA,ARROZ,,EMPRESAS TUCAPEL S.A.
Z. ARROZ RIZZO AMERICANO Gº2 20X500 GR,ABARROTES BASICOS Y MASCOTAS,ARROZ,LARGO G‹2,RIZZO,,,ARROZ,,EMPRESAS CAROZZI S.A.
Z. QUESILLO FRESCO NAT COLUN 18X320 GR,LACTEOS REFRIGERADOS Y CECINAS,QUESOS,QUESILLOS,COLUN,,,,,COOPERATIVA AGRICOLA LECHERA LA UNION LT
REFRESCO CARICIA NARANJA 8X20,ALIMENTOS,JUGOS POLVO,REFRESCOS,CARICIA,NARANJA,SACHET,JUGOS POLVO,,EMPRESAS CAROZZI S.A.
Z.QUIX VERDELOZA12X750,ASEO Y LIMPIEZA,ARTICULO ASEO COCINA,LAVALOZA,QUIX,VERDE,FRASCO,ARTICULO ASEO COCINA,LAVALOZA VERDE QUIX 500CC,UNILEVER CHILE LIMITADA.
Z. CECINAS SAN PABLO LONGANIZA PARRILLER,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,LONGANIZAS,SAN PABLO,,,,,CECINAS SAN PABLO S.A
F.LUCCHE.SPAGHETTI 5 25X400 GR,ALIMENTOS,FIDEOS,SPAGHETTI,LUCCHETTI,SPAGHETTI N°5,BOLSA,FIDEOS,SPAGHETTI N 5 LUCCHETTI 400GR,LUCCHETTI CHILE S.A.
Z. I.MATAMOSCAS-ZANCUDO SHELL AEROSOL 12,ASEO Y LIMPIEZA,INSECTICIDAS,SPRAY,SHELL,,,,,CLOROX CHILE S.A.
JUREL SAN JOSE NATURAL 24X425 GRS,ALIMENTOS,CONSERVAS,JUREL,SAN JOSE,NATURAL,LATA,CONSERVAS JURELES,JUREL NATURAL SAN JOSE 425GR,ORIZON S.A.
Z. CHUP. DE FRUTILLA DOS EN UNO 16X50,LACTEOS REFRIGERADOS Y CECINAS,CONFITES,CARAMELOS,DOS EN UNO,,,,,INDUSTRIA DE ALIMENTOS DOS EN UNO S.A.
Z.Z. CECINA SAN PABLO PATE TERNERA DISPL,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z.Z. CECINA SAN PABLO PATE DE CERDO DISP,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,PATE,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z. ELIM-CECINA SAN PABLO JAMONADA X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,JAMONADA,SAN PABLO,,,,,CECINAS SAN PABLO S.A
VELA LUMINOSA ECONOMICA 40X156,ASEO Y LIMPIEZA,FOSFOROS Y VELAS,VELAS,LUMINOSA,ECONOMICA,PAQUETE,FOSFOROS Y VELAS,VELA ECONOMICA LUMINOSA 156GR,CLOROX CHILE S.A.
SH.BALLERINA MIXTO 50X60 GR,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,BALLERINA,MIXTO,SACHET,PRODUCTOS BALLERINA,SHAMPOO MIXTO BALLERINA 60GR,LABORATORIO BALLERINA LTDA.
SH.BALLERINA BOLSA SURT 5X10X60 GRS,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,SHAMPOO,BALLERINA,BOLSA SURTIDA,SACHET,PRODUCTOS BALLERINA,SHAMPOO BOLSA SURTIDA BALLERINA 60GR,LABORATORIO BALLERINA LTDA.
Z.ACOND.BALLERINA MIX TIRA 50+10X50 GR,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,ACONDICIONADOR,BALLERINA,,,PRODUCTOS BALLERINA,,LABORATORIO BALLERINA LTDA.
PAPEL HIGIENICO NOBLE POLI 24X2 U,CUIDADO PERSONAL,PAPELERA,HIGIENICOS,NOBLE,,,PAPELERA,,CMPC TISSUE S.A.
CLORINDA GEL 15X250 CC.,ASEO Y LIMPIEZA,CLOROS,CLORO GEL,CLORINDA,,BOTELLA,CLOROS,CLORO GEL CLORINDA 250CC,CLOROX CHILE S.A.
Z. LAVALOZA CLORINDA 15X250 CC,ASEO Y LIMPIEZA,ARTICULO ASEO COCINA,LAVALOZAS,CLORINDA,,,,,CLOROX CHILE S.A.
CLORINDA 15X950 CC,ASEO Y LIMPIEZA,CLOROS,CLORO LIQUIDO,CLORINDA,,BOTELLA,CLOROS,CLORO CLORINDA 950CC,CLOROX CHILE S.A.
Z. CLORO CLORINDA 24/1000,ASEO Y LIMPIEZA,CLOROS,CLORO,CLORINDA,,,,,CLOROX CHILE S.A.
SEMOLA LUCCHETTI 40X250 GR,ALIMENTOS,FIDEOS,SEMOLA,LUCCHETTI,SEMOLAS,CAJA,FIDEOS,SEMOLA LUCCHETTI 250GR,LUCCHETTI CHILE S.A.
ARROZ TUCAPEL PREGRANEADO G1 10X1K,ABARROTES BASICOS Y MASCOTAS,ARROZ,PREGRANEADO,TUCAPEL,NACIONAL G1,BOLSA,ARROZ,ARROZ  PREGRANEADO NACIONAL G1 TUCAPEL 1KG,EMPRESAS TUCAPEL S.A.
Z.Z. CECINA SAN PABLO LISA X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,JAMONADA,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z. MAIZENA M.POLO 24X250,ALIMENTOS,POSTRES PARA PREPARAR,MAIZENA,MARCO POLO,,,,,IMPORTADORA CAFE DO BRASIL S.A.
MAIZENA DROPA 60/250,ALIMENTOS,POSTRES PARA PREPARAR,MAIZENA,DROPA,SIN GLUTEN,CAJA,POSTRES PARA PREPARAR,MAIZENA EN POLVO SIN GLUTEN DROPA 250GR,UNILEVER CHILE LIMITADA.
X. HARINA LUCCHETTI SIN POLVO 12X1 KG,ABARROTES BASICOS Y MASCOTAS,HARINAS,ENVASADAS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
X. HARINA LUCCHETTI CON POLVO 12/1 KG,ABARROTES BASICOS Y MASCOTAS,HARINAS,ENVASADAS,LUCCHETTI,,,,,LUCCHETTI CHILE S.A.
Z.Z. CECINA SAN PABLO MORTADELA DE PAVO,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,MORTADELA,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z.ARROZ TUCAPEL G°1 CAJA ROJO EX. CORTO,ABARROTES BASICOS Y MASCOTAS,ARROZ,BLANCO,TUCAPEL,NACIONAL G1,CAJA,ARROZ,,EMPRESAS TUCAPEL S.A.
Z. TE QEEN`S CEYLAN BOLSA 50/20,ALIMENTOS,TE,BOLSITA,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. CLORO CLORINDA 12X1900,ASEO Y LIMPIEZA,CLOROS,CLORO,CLORINDA,,,,,CLOROX CHILE S.A.
Z. P. DOVE SHOWER 12X200+ESPONJA,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,JABON LIQUIDO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
Z. MERMELADA MALLOA DAMASCO 24X250,LACTEOS REFRIGERADOS Y CECINAS,DULCES Y MERMELADAS,MERMELADAS,MALLOA,DAMASCO,SACHET,DULCES Y MERMELADAS,MERMELADA DAMASCO MALLOA 250GR,UNILEVER CHILE LIMITADA.
Z. TE SAMBA FAMILIAR 10/80,ALIMENTOS,TE,BOLSITA,SIN MARCA,,,,,PARRO ALVARIÐO Y CIA. LTDA.
Z. PIÑA SUNNY 24X836 GRS,ALIMENTOS,CONSERVAS,FRUTAS,SUNNY,,,,,COMERCIAL CHACAO S A
HARINA SELECTA S/POLVO 12X 1 KG,ABARROTES BASICOS Y MASCOTAS,HARINAS,HARINA,SELECTA,SIN POLVO,BOLSA,HARINAS,HARINA SIN POLVO SELECTA 1KG,EMPRESAS CAROZZI S.A.
HARINA SELECTA C/POLVO 12X1 KG,ABARROTES BASICOS Y MASCOTAS,HARINAS,HARINA,SELECTA,CON POLVO,BOLSA,HARINAS,HARINA CON POLVO SELECTA 1KG,EMPRESAS CAROZZI S.A.
Z. IMPULSE DYNAMIQUE 12X75 CC,CUIDADO PERSONAL,PERFUMERIA,DESODORANTES,IMPULSE,,,,,UNILEVER CHILE LIMITADA.
HARINA TODO USO 20 KILOS SOMOL,ABARROTES BASICOS Y MASCOTAS,HARINAS,HARINA,SIN MARCA,TODO USO,BOLSA,HARINAS,HARINA TODO USO SIN MARCA 20KG,SOCIEDAD INDUSTRIAL KUNSTMANN S.A.
Z. CECINA SAN PABLO JAMON PRAGA X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,JAMON,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z. LAVALOZA DIELLI 6X2 LT,ASEO Y LIMPIEZA,ARTICULO ASEO COCINA,LAVALOZAS,DIELLI,,,,,LABORATORIO BALLERINA LTDA.
Z-CERA ARELA SACHET CAOBA 24X225 GR,ASEO Y LIMPIEZA,CERAS Y BETUNES,CERA CREMA,ARELA,,,,,CLOROX CHILE S.A.
Z. CERA BRILLINA T/COLOR 10X400 CC,ASEO Y LIMPIEZA,CERAS Y BETUNES,TIERRA COLOR,BRILLINA,,,,,EMPRESAS DEMARIA S.A.
Z. JALEA AURORA SURTIDA 32X80GR,ALIMENTOS,POSTRES PARA PREPARAR,JALEAS,AURORA,,,,,EMPRESAS CAROZZI S.A.
Z. I.SHELL M-Z 12X201,ASEO Y LIMPIEZA,INSECTICIDAS,SPRAY,SIN MARCA,,,,,CLOROX CHILE S.A.
Z. CERA BRILLINA AMARILLA 10X400 CC,ASEO Y LIMPIEZA,CERAS Y BETUNES,CREMA,BRILLINA,,,,,EMPRESAS DEMARIA S.A.
Z. FIDEO PARMA CODOS 30X400 GR,ALIMENTOS,FIDEOS,ESPECIALIDADES,PARMA,CODOS,BOLSA,FIDEOS,,EMPRESAS CAROZZI S.A.
Z-PILA EVEREADY NEGRA MEDIANA C 18X12,CUIDADO PERSONAL,PILAS,CARBON,EVEREADY,,,PILAS,,ENERGIZER DE CHILE SPA
Z. CECINA SAN PABLO JAMON DE PAVO X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,JAMON,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z.Z. CECINA SAN PABLO FBE. JAMON SANDWIC,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,JAMON,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z. TE CLUB VERDE 32/125,ALIMENTOS,TE,GRANEL,CLUB,,,,,UNILEVER BESTFOODS
REFRESCO ZUKO MANZANA-PERA 6X28,ALIMENTOS,JUGOS POLVO,REFRESCOS,ZUKO,,,,,TRESMONTES S.A
Z. CAFE MONTERREY TARRO 24/170,ALIMENTOS,CAFE Y SUCEDANEOS,CAFE,MONTERREY,,,,,TRESMONTES S.A
VELA INVENA STANDAR 50X150 GR 4U,ASEO Y LIMPIEZA,FOSFOROS Y VELAS,VELAS,INVENA,ESTANDAR,PAQUETE,FOSFOROS Y VELAS,VELA ESTÁNDAR INVENA 150UN,COMERCIAL INVENA LTDA.
VELA INVENA ECONOMICA  4U 40X115GR,ASEO Y LIMPIEZA,FOSFOROS Y VELAS,VELAS,INVENA,ECONOMICA,PAQUETE,FOSFOROS Y VELAS,VELA ECONÓMICA INVENA 115UN,COMERCIAL INVENA LTDA.
Z. SOPA PARA UNO MAGGI ESPARR 6X24X14 G,ALIMENTOS,SOPAS Y CREMAS,SOPAS,MAGGI,,,SOPAS Y CREMAS,,NESTLE CHILE S.A.
Z. P. PEPSODENT ENJUAGUE BUCAL 6X400 ML,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,PEPSODENT,,,,,UNILEVER CHILE LIMITADA.
Z. CECINAS SAN PABLO JAMON PIERNA X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,JAMON,SAN PABLO,,,,,CECINAS SAN PABLO S.A
ATUN LOMITO ACEITE COLORADO 48X170 GR,ALIMENTOS,CONSERVAS,ATUN,COLORADO,LOMITO AL ACEITE,LATA,CONSERVAS ATUNES,ATUN LOMITO AL ACEITE COLORADO 170GR,ORIZON S.A.
Z. CECINA SAN PABLO QUESO CABEZA X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,QUESO CABEZA,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z. CECINA SAN PABLO VIENESA DISPLAY 250G,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,VIENESAS,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z. TE SUPREMO CEYLAN ORO 32/125,ALIMENTOS,TE,BOLSITA,SUPREMO,,,TE,,CAMBIASO HNOS. S.A.C.
Z. SALSA POMAROLA 48X215 CAROZZI,ALIMENTOS,SALSAS DE TOMATE,SALSA TARRO,POMAROLA,,,,,EMPRESAS CAROZZI S.A.
Z. OMO MATIC MULTIACC 4X5000 GRS,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
Z. QUIX 8X1500CC,ASEO Y LIMPIEZA,ARTICULO ASEO COCINA,LAVALOZAS,QUIX,,,,,UNILEVER CHILE LIMITADA.
Z. SALSA WATT S 30/215,ALIMENTOS,SALSAS DE TOMATE,SALSA DOYPACK,WATTS,,,,,DIWATTS S.A
Z. PEPSODENT NEW 6X12X50 GR,CUIDADO PERSONAL,PRODUCTOS ASEO PERSONAL,PASTA DENTAL,PEPSODENT,,,,,UNILEVER CHILE LIMITADA.
Z. CECINA SAN PABLO TURIN X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,TURIN,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z.Z. CECINA SAN PABLO PATA RELLENA X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,FIABRE COCIDO,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z.Z. CECINA SAN PABLO CERVECERO X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,CERVEZA,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z. CECINAS SAN PABLO VIENESAS X GR,LACTEOS REFRIGERADOS Y CECINAS,CECINAS,VIENESAS,SAN PABLO,,,,,CECINAS SAN PABLO S.A
Z. OMO ROPA DELIC.20X1,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
Z. PAN HALLULLA PRECOCIDA BREDEN MASTER,LACTEOS REFRIGERADOS Y CECINAS,PANADERIA,PAN PRECOCIDO,BREDEN MASTER,,,,,BREDEN MASTER CHILE S.A.
Z. OMO POLVO 20X1 KG,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
Z. OMO POLVO 12X1000,ASEO Y LIMPIEZA,DETERGENTES,POLVO,OMO,,,,,UNILEVER CHILE LIMITADA.
X. SKIP INTELLIGENT ULTRA 18X1000,ASEO Y LIMPIEZA,DETERGENTES,POLVO,SKIP,,,,,UNILEVER CHILE LIMITADA.
Z.DRIVE MATIC PROGRESS 18X1000,ASEO Y LIMPIEZA,DETERGENTES,POLVO,DRIVE,,,DETERGENTES,,UNILEVER CHILE LIMITADA.
Z. RINSO MATIC ENER FLORES AMARI 20X1 KG,ASEO Y LIMPIEZA,DETERGENTES,POLVO,RINSO,,,,,UNILEVER CHILE LIMITADA.
VINO BODEGA UNO BLANCO (PET) 6X2  LT,B.ALCOHOLICAS Y ANALCOHOLICAS,VINOS Y LICORES,VINOS,BODEGA UNO,BLANCO,CAJA,VINOS Y LICORES,,SOCIEDAD ANONIMA VIÑA SANTA RITA
VINO BODEGA UNO TINTO (PET) 6X2 LT,B.ALCOHOLICAS Y ANALCOHOLICAS,VINOS Y LICORES,VINOS,BODEGA UNO,TINTO,CAJA,VINOS Y LICORES,,SOCIEDAD ANONIMA VIÑA SANTA RITA
VINO BODEGA UNO BLANCO TETRA 8X1.5 CC,B.ALCOHOLICAS Y ANALCOHOLICAS,VINOS Y LICORES,VINOS,BODEGA UNO,BLANCO,TETRA,VINOS Y LICORES,,SOCIEDAD ANONIMA VIÑA SANTA RITA
VINO 120 BLANCO TETRA 8X1500 CC,B.ALCOHOLICAS Y ANALCOHOLICAS,VINOS Y LICORES,VINOS,120,BLANCO,TETRA,VINOS Y LICORES,,SOCIEDAD ANONIMA VIÑA SANTA RITA
TE CEYLAN ARUBA 32X125 GRS.,ALIMENTOS,TE,GRANEL,ARUBA,,,,,COMERCIAL CHACAO S A
Z. RASCH LOZA 24/450,ASEO Y LIMPIEZA,DETERGENTES,POLVO,SIN MARCA,,,,,UNILEVER CHILE LIMITADA.
VINO 120 TINTO TETRA 8X2.000 CC,B.ALCOHOLICAS Y ANALCOHOLICAS,VINOS Y LICORES,VINOS,120,TINTO,TETRA,VINOS Y LICORES,,SOCIEDAD ANONIMA VIÑA SANTA RITA
